,RegionName,RegionID,SizeRank,Date,value
0,United States,102001,0,2014-01,1318
1,"New York, NY",394913,1,2014-01,4684
2,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-01,1750
3,"Chicago, IL",394463,3,2014-01,1405
4,"Dallas-Fort Worth, TX",394514,4,2014-01,1128
5,"Philadelphia, PA",394974,5,2014-01,1331
6,"Houston, TX",394692,6,2014-01,1161
7,"Washington, DC",395209,7,2014-01,1772
8,"Miami-Fort Lauderdale, FL",394856,8,2014-01,1563
9,"Atlanta, GA",394347,9,2014-01,1078
10,"Boston, MA",394404,10,2014-01,2154
11,"San Francisco, CA",395057,11,2014-01,2155
12,"Detroit, MI",394532,12,2014-01,964
13,"Riverside, CA",395025,13,2014-01,1425
14,"Phoenix, AZ",394976,14,2014-01,958
15,"Seattle, WA",395078,15,2014-01,1362
16,"Minneapolis-St Paul, MN",394865,16,2014-01,1181
17,"San Diego, CA",395056,17,2014-01,1703
18,"St. Louis, MO",395121,18,2014-01,907
19,"Tampa, FL",395148,19,2014-01,1107
20,"Baltimore, MD",394358,20,2014-01,1436
21,"Denver, CO",394530,21,2014-01,1191
22,"Pittsburgh, PA",394982,22,2014-01,1005
23,"Portland, OR",394998,23,2014-01,1136
24,"Charlotte, NC",394458,24,2014-01,1060
25,"Sacramento, CA",395045,25,2014-01,1268
26,"San Antonio, TX",395055,26,2014-01,957
27,"Orlando, FL",394943,27,2014-01,1162
28,"Cincinnati, OH",394466,28,2014-01,931
29,"Cleveland, OH",394475,29,2014-01,922
30,"Kansas City, MO",394735,30,2014-01,884
31,"Las Vegas, NV",394775,31,2014-01,1005
32,"Columbus, OH",394492,32,2014-01,929
33,"Indianapolis, IN",394705,33,2014-01,954
34,"San Jose, CA",395059,34,2014-01,2162
35,"Austin, TX",394355,35,2014-01,1177
36,"Virginia Beach, VA",395194,36,2014-01,1150
37,"Nashville, TN",394902,37,2014-01,1124
38,"Providence, RI",395005,38,2014-01,1158
39,"Milwaukee, WI",394862,39,2014-01,935
40,"Jacksonville, FL",394714,40,2014-01,1072
41,"Memphis, TN",394849,41,2014-01,995
42,"Oklahoma City, OK",394935,42,2014-01,960
43,"Louisville-Jefferson County, KY",394807,43,2014-01,844
44,"Hartford, CT",394669,44,2014-01,1228
45,"Richmond, VA",395022,45,2014-01,
46,"New Orleans, LA",394910,46,2014-01,1079
47,"Buffalo, NY",394425,47,2014-01,785
48,"Raleigh, NC",395012,48,2014-01,1128
49,"Birmingham, AL",394388,49,2014-01,970
50,"Salt Lake City, UT",395053,50,2014-01,
51,"Rochester, NY",395031,51,2014-01,
52,"Grand Rapids, MI",394640,52,2014-01,843
53,"Tucson, AZ",395167,53,2014-01,930
54,"Urban Honolulu, HI",753924,54,2014-01,1967
55,"Tulsa, OK",395169,55,2014-01,903
56,"Fresno, CA",394619,56,2014-01,1147
57,"Worcester, MA",395238,57,2014-01,1091
58,"Stamford, CT",394415,58,2014-01,1848
59,"Albuquerque, NM",394312,59,2014-01,925
60,"Albany, NY",394308,60,2014-01,1035
61,"Omaha, NE",394938,61,2014-01,823
62,"New Haven, CT",394908,62,2014-01,1273
63,"Bakersfield, CA",394357,63,2014-01,1001
64,"Knoxville, TN",394753,64,2014-01,928
65,"Greenville, SC",394653,65,2014-01,968
66,"Ventura, CA",394952,66,2014-01,1902
67,"Allentown, PA",394318,67,2014-01,1173
68,"El Paso, TX",394561,68,2014-01,979
69,"Baton Rouge, LA",394367,69,2014-01,1070
70,"Dayton, OH",394521,70,2014-01,806
71,"McAllen, TX",394843,71,2014-01,789
72,"Columbia, SC",394486,72,2014-01,
73,"Greensboro, NC",394648,73,2014-01,952
74,"Akron, OH",394304,74,2014-01,781
75,"North Port-Sarasota-Bradenton, FL",753906,75,2014-01,1211
76,"Little Rock, AR",394798,76,2014-01,785
77,"Stockton, CA",395134,77,2014-01,1370
78,"Charleston, SC",394457,78,2014-01,1143
79,"Syracuse, NY",395143,79,2014-01,925
80,"Colorado Springs, CO",394484,80,2014-01,1033
81,"Winston-Salem, NC",395235,81,2014-01,1080
82,"Wichita, KS",395224,82,2014-01,
83,"Springfield, MA",395115,83,2014-01,1223
84,"Fort Myers, FL",394440,84,2014-01,965
85,"Boise City, ID",394399,85,2014-01,947
86,"Toledo, OH",395160,86,2014-01,829
87,"Madison, WI",394816,87,2014-01,1026
88,"Lakeland, FL",394766,88,2014-01,1026
89,"Ogden, UT",394931,89,2014-01,949
90,"Daytona Beach, FL",394528,90,2014-01,987
91,"Des Moines, IA",394531,91,2014-01,994
92,"Jackson, MS",394711,92,2014-01,1085
93,"Youngstown, OH",395245,93,2014-01,618
94,"Augusta, GA",394352,94,2014-01,916
95,"Scranton, PA",395075,95,2014-01,833
96,"Harrisburg, PA",394666,96,2014-01,986
97,"Melbourne, FL",394957,97,2014-01,940
98,"Spokane, WA",395113,99,2014-01,943
99,"Provo, UT",395006,100,2014-01,1003
100,"Killeen, TX",394746,128,2014-01,859
101,"College Station, TX",394483,192,2014-01,1205
102,United States,102001,0,2014-02,1324
103,"New York, NY",394913,1,2014-02,4705
104,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-02,1761
105,"Chicago, IL",394463,3,2014-02,1409
106,"Dallas-Fort Worth, TX",394514,4,2014-02,1131
107,"Philadelphia, PA",394974,5,2014-02,1333
108,"Houston, TX",394692,6,2014-02,1168
109,"Washington, DC",395209,7,2014-02,1774
110,"Miami-Fort Lauderdale, FL",394856,8,2014-02,1570
111,"Atlanta, GA",394347,9,2014-02,1082
112,"Boston, MA",394404,10,2014-02,2159
113,"San Francisco, CA",395057,11,2014-02,2188
114,"Detroit, MI",394532,12,2014-02,966
115,"Riverside, CA",395025,13,2014-02,1430
116,"Phoenix, AZ",394976,14,2014-02,962
117,"Seattle, WA",395078,15,2014-02,1372
118,"Minneapolis-St Paul, MN",394865,16,2014-02,1184
