Date,Unnamed: 0,RegionName,RegionID,SizeRank,value
2014/01/01,0,United States,102001,0,1318.0
2014/01/01,1,"New York, NY",394913,1,4684.0
2014/01/01,2,"Los Angeles-Long Beach-Anaheim, CA",753899,2,1750.0
2014/01/01,3,"Chicago, IL",394463,3,1405.0
2014/01/01,4,"Dallas-Fort Worth, TX",394514,4,1128.0
2014/01/01,5,"Philadelphia, PA",394974,5,1331.0
2014/01/01,6,"Houston, TX",394692,6,1161.0
2014/01/01,7,"Washington, DC",395209,7,1772.0
2014/01/01,8,"Miami-Fort Lauderdale, FL",394856,8,1563.0
2014/01/01,9,"Atlanta, GA",394347,9,1078.0
2014/01/01,10,"Boston, MA",394404,10,2154.0
2014/01/01,11,"San Francisco, CA",395057,11,2155.0
2014/01/01,12,"Detroit, MI",394532,12,964.0
2014/01/01,13,"Riverside, CA",395025,13,1425.0
2014/01/01,14,"Phoenix, AZ",394976,14,958.0
2014/01/01,15,"Seattle, WA",395078,15,1362.0
2014/01/01,16,"Minneapolis-St Paul, MN",394865,16,1181.0
2014/01/01,17,"San Diego, CA",395056,17,1703.0
2014/01/01,18,"St. Louis, MO",395121,18,907.0
2014/01/01,19,"Tampa, FL",395148,19,1107.0
2014/01/01,20,"Baltimore, MD",394358,20,1436.0
2014/01/01,21,"Denver, CO",394530,21,1191.0
2014/01/01,22,"Pittsburgh, PA",394982,22,1005.0
2014/01/01,23,"Portland, OR",394998,23,1136.0
2014/01/01,24,"Charlotte, NC",394458,24,1060.0
2014/01/01,25,"Sacramento, CA",395045,25,1268.0
2014/01/01,26,"San Antonio, TX",395055,26,957.0
2014/01/01,27,"Orlando, FL",394943,27,1162.0
2014/01/01,28,"Cincinnati, OH",394466,28,931.0
2014/01/01,29,"Cleveland, OH",394475,29,922.0
2014/01/01,30,"Kansas City, MO",394735,30,884.0
2014/01/01,31,"Las Vegas, NV",394775,31,1005.0
2014/01/01,32,"Columbus, OH",394492,32,929.0
2014/01/01,33,"Indianapolis, IN",394705,33,954.0
2014/01/01,34,"San Jose, CA",395059,34,2162.0
2014/01/01,35,"Austin, TX",394355,35,1177.0
2014/01/01,36,"Virginia Beach, VA",395194,36,1150.0
2014/01/01,37,"Nashville, TN",394902,37,1124.0
2014/01/01,38,"Providence, RI",395005,38,1158.0
2014/01/01,39,"Milwaukee, WI",394862,39,935.0
2014/01/01,40,"Jacksonville, FL",394714,40,1072.0
2014/01/01,41,"Memphis, TN",394849,41,995.0
2014/01/01,42,"Oklahoma City, OK",394935,42,960.0
2014/01/01,43,"Louisville-Jefferson County, KY",394807,43,844.0
2014/01/01,44,"Hartford, CT",394669,44,1228.0
2014/01/01,45,"Richmond, VA",395022,45,
2014/01/01,46,"New Orleans, LA",394910,46,1079.0
2014/01/01,47,"Buffalo, NY",394425,47,785.0
2014/01/01,48,"Raleigh, NC",395012,48,1128.0
2014/01/01,49,"Birmingham, AL",394388,49,970.0
2014/01/01,50,"Salt Lake City, UT",395053,50,
2014/01/01,51,"Rochester, NY",395031,51,
2014/01/01,52,"Grand Rapids, MI",394640,52,843.0
2014/01/01,53,"Tucson, AZ",395167,53,930.0
2014/01/01,54,"Urban Honolulu, HI",753924,54,1967.0
2014/01/01,55,"Tulsa, OK",395169,55,903.0
2014/01/01,56,"Fresno, CA",394619,56,1147.0
2014/01/01,57,"Worcester, MA",395238,57,1091.0
2014/01/01,58,"Stamford, CT",394415,58,1848.0
2014/01/01,59,"Albuquerque, NM",394312,59,925.0
2014/01/01,60,"Albany, NY",394308,60,1035.0
2014/01/01,61,"Omaha, NE",394938,61,823.0
2014/01/01,62,"New Haven, CT",394908,62,1273.0
