RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
102001,United States,0,1318,1324,1329,1334,1340,1345,1351,1356,1361,1367,1372,1378,1383,1389,1394,1399,1404,1410,1415,1420,1425,1430,1435,1440,1445,1450,1454,1459,1463,1467,1471,1475,1478,1482,1486,1490,1494,1498,1502,1506,1510,1515,1519,1523,1527,1531,1536,1540,1544,1549,1553,1558,1562,1567,1572,1577,1582,1586,1591,1596,1601,1606,1611,1616,1620,1625,1630,1634,1638,1642,1644,1646,1648,1649,1650,1650,1651,1652,1652,1655,1658,1660,1669,1678,1687,1705,1723,1741,1761,1782,1803,1824,1845,1867,1889,1911
394913,"New York, NY",1,4684,4705,4725,4746,4767,4787,4808,4829,4849,4870,4890,4910,4930,4949,4968,4986,5004,5022,5039,5054,5069,5084,5096,5107,5119,5128,5137,5146,5153,5161,5169,5176,5183,5190,5198,5206,5213,5221,5229,5237,5243,5249,5255,5261,5266,5271,5276,5282,5287,5294,5300,5307,5315,5323,5332,5342,5352,5362,5374,5386,5398,5409,5420,5431,5441,5450,5460,5467,5475,5482,5476,5470,5464,5438,5411,5385,5346,5308,5269,5234,5199,5163,5153,5144,5134,5174,5214,5255,5310,5366,5421,5481,5541,5601,5664,5728
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1750,1761,1771,1782,1792,1803,1813,1824,1834,1845,1856,1866,1877,1887,1897,1907,1917,1928,1938,1949,1960,1971,1981,1992,2003,2013,2023,2033,2043,2052,2062,2071,2080,2089,2098,2107,2117,2126,2135,2144,2152,2161,2169,2177,2185,2192,2200,2207,2215,2222,2230,2238,2246,2253,2261,2269,2277,2285,2292,2300,2307,2314,2321,2328,2335,2341,2348,2353,2358,2363,2365,2366,2368,2366,2365,2363,2361,2359,2356,2356,2356,2356,2365,2373,2381,2402,2423,2443,2468,2492,2516,2541,2566,2592,2618,2644
394463,"Chicago, IL",3,1405,1409,1413,1416,1420,1423,1427,1430,1434,1437,1441,1444,1448,1451,1455,1459,1462,1466,1470,1474,1479,1484,1488,1493,1498,1502,1505,1509,1512,1515,1517,1520,1523,1525,1528,1531,1533,1536,1538,1541,1543,1546,1549,1551,1554,1557,1559,1561,1564,1566,1569,1571,1574,1577,1579,1582,1585,1588,1592,1595,1598,1602,1606,1609,1613,1617,1621,1624,1627,1630,1631,1632,1633,1631,1629,1627,1624,1621,1617,1615,1612,1609,1611,1613,1615,1625,1634,1644,1656,1668,1680,1692,1705,1717,1731,1744
394514,"Dallas-Fort Worth, TX",4,1128,1131,1135,1138,1142,1146,1149,1153,1157,1160,1164,1168,1172,1177,1182,1186,1191,1195,1200,1204,1209,1214,1219,1223,1228,1233,1239,1244,1249,1254,1259,1264,1269,1274,1279,1283,1288,1292,1296,1301,1305,1309,1313,1317,1321,1325,1329,1333,1336,1340,1343,1347,1351,1354,1358,1362,1366,1370,1375,1379,1383,1388,1392,1396,1400,1404,1408,1411,1414,1417,1419,1421,1423,1424,1425,1427,1429,1431,1433,1438,1442,1447,1457,1468,1478,1498,1517,1536,1557,1578,1599,1621,1643,1665,1688,1710
394974,"Philadelphia, PA",5,1331,1333,1336,1339,1341,1344,1346,1349,1352,1355,1358,1361,1364,1367,1370,1373,1376,1379,1383,1386,1390,1394,1397,1401,1404,1407,1411,1414,1417,1420,1423,1426,1429,1431,1434,1437,1439,1442,1444,1447,1450,1453,1455,1458,1461,1464,1468,1471,1475,1478,1482,1486,1489,1493,1497,1501,1506,1510,1514,1518,1522,1527,1531,1535,1539,1543,1547,1551,1554,1558,1560,1563,1565,1567,1569,1571,1573,1575,1577,1580,1583,1585,1592,1598,1604,1616,1628,1640,1654,1668,1682,1696,1710,1725,1740,1755
394692,"Houston, TX",6,1161,1168,1174,1181,1188,1194,1201,1207,1213,1220,1225,1230,1235,1239,1243,1246,1249,1252,1255,1257,1260,1262,1264,1265,1266,1266,1267,1267,1267,1266,1266,1265,1264,1264,1264,1263,1263,1264,1266,1267,1270,1273,1276,1280,1284,1287,1292,1296,1300,1303,1307,1311,1313,1315,1317,1319,1321,1322,1324,1326,1328,1330,1332,1334,1336,1337,1339,1341,1343,1345,1345,1345,1345,1345,1344,1344,1344,1344,1344,1345,1347,1348,1354,1360,1366,1379,1391,1403,1417,1430,1444,1458,1472,1486,1501,1515
395209,"Washington, DC",7,1772,1774,1777,1780,1783,1785,1788,1791,1793,1796,1798,1801,1803,1805,1807,1808,1811,1813,1816,1819,1822,1825,1828,1831,1834,1836,1839,1841,1843,1845,1848,1850,1852,1855,1858,1860,1863,1866,1869,1872,1875,1877,1879,1881,1883,1885,1888,1890,1893,1896,1899,1903,1907,1911,1915,1920,1925,1930,1935,1940,1944,1949,1954,1958,1963,1967,1971,1974,1977,1981,1981,1981,1982,1978,1975,1972,1967,1961,1955,1950,1946,1941,1942,1944,1945,1959,1972,1985,2002,2019,2035,2053,2071,2088,2107,2126
394856,"Miami-Fort Lauderdale, FL",8,1563,1570,1578,1586,1593,1601,1608,1616,1624,1631,1639,1647,1655,1663,1671,1679,1687,1695,1703,1710,1718,1726,1732,1739,1745,1750,1755,1759,1763,1766,1769,1772,1775,1778,1780,1783,1786,1790,1793,1796,1800,1804,1807,1811,1815,1819,1823,1827,1831,1836,1840,1844,1849,1853,1858,1862,1867,1871,1875,1880,1884,1888,1892,1896,1900,1904,1908,1913,1917,1921,1924,1928,1931,1933,1936,1939,1942,1946,1950,1958,1967,1975,1995,2015,2035,2074,2112,2150,2194,2238,2282,2327,2373,2419,2466,2513
394347,"Atlanta, GA",9,1078,1082,1085,1089,1093,1097,1101,1105,1109,1113,1117,1122,1126,1131,1136,1141,1146,1151,1156,1161,1167,1172,1177,1183,1189,1195,1201,1207,1213,1219,1225,1230,1236,1242,1248,1253,1259,1265,1270,1276,1282,1288,1293,1299,1306,1312,1318,1324,1330,1336,1342,1349,1355,1362,1369,1376,1383,1390,1398,1405,1412,1418,1424,1431,1437,1442,1448,1453,1457,1462,1466,1469,1473,1477,1482,1486,1492,1498,1505,1515,1525,1535,1553,1570,1588,1615,1642,1668,1697,1725,1754,1783,1813,1842,1872,1902
